PLATEID	FIBERID	RA	DEC	PRIMTARGET	SECTARGET	Z	Z_ERR	Z_WARNING	V_DISP	V_DISP_ERR	SN_MEDIAN	E_BV_SFD	ZTWEAK	ZTWEAK_ERR	SIGMA_BALMER	SIGMA_BALMER_ERR	SIGMA_FORBIDDEN	SIGMA_FORBIDDEN_ERR	V_OFF_BALMER	V_OFF_BALMER_ERR	V_OFF_FORBIDDEN	V_OFF_FORBIDDEN_ERR	OII_3726_CONT	OII_3726_CONT_ERR	OII_3726_REQW	OII_3726_REQW_ERR	OII_3726_EQW	OII_3726_EQW_ERR	OII_3726_SEQW
344	477	241.057	0.0535441	96	0	0.0590963	1.51456e-05	0	251.445	6.7198	33.7467	0.155659	0	0	186.441	14.5065	181.205	8.61016	6.21323	13.6953	22.8292	9.36289	20.4126	4.02018	-7.95356	0.701989	-8.88616	0.701989	-4.48218
1824	44	212.022	5.41752	96	0	0.0870174	1.94811e-05	0	320.839	9.22543	30.3179	0.0224259	0	0	500	-0	500	-0	300	-0	300	-0	15.6986	2.36289	2.42847	0.558273	0.705336	0.558273	5.5582
1189	28	134.17	5.89649	96	0	0.093901	2.32415e-05	0	236.645	9.10713	21.156	0.0546422	0	0	78.5017	61.8099	379.655	60.6454	72.8428	46.8548	271.476	65.4683	10.1522	2.21838	1.08073	0.836807	-1.03905	0.836807	-3.81965
364	409	246.004	0.790895	96	0	0.0574319	1.02805e-05	0	210.179	4.36363	44.0118	0.0853244	0	0	500	-0	500	-0	300	-0	255.291	91.9222	22.9394	1.94143	2.11551	0.352832	0.187164	0.352832	2.02134
590	161	227.811	3.49876	96	0	0.0769092	1.85471e-05	0	249.072	7.90357	28.7968	0.0461611	0	0	500	-0	376.597	68.1233	14.5493	92.1969	-107.015	70.254	16.6365	2.8429	1.42423	0.623882	-0.103441	0.623882	7.29097
1220	414	165.189	10.5532	6752	0	0.0338405	1.28273e-05	0	293.254	6.17055	41.342	0.0287762	0	0	500	-0	500	-0	300	-0	8.17239	95.4188	34.9531	3.04493	1.28341	0.358173	-1.01599	0.358173	2.02193
271	168	154.453	-0.0307648	64	0	0.0635859	1.79329e-05	0	312.423	9.11474	35.9737	0.0456879	0	0	500	0	419	51.3446	271.525	70.7043	173.701	56.4441	18.7579	2.71664	-1.28453	0.520386	-1.68762	0.520386	-0.675494
835	137	168.681	4.02452	96	0	0.0416722	1.00514e-05	0	241.214	4.65227	48.02	0.0482129	0	0	208.431	24.7893	157.514	15.0712	-28.012	23.455	-46.7632	16.1263	40.836	5.05658	-2.06302	0.347139	-3.33443	0.347139	-0.756266
339	346	195.143	-2.13406	96	0	0.0851579	1.84925e-05	0	251.582	7.57979	26.2115	0.0220497	0	0	500	-0	289.096	56.7264	300	-0	287.899	57.2195	12.2545	1.99559	2.16971	0.652796	-0.138388	0.652796	0.724488
844	257	184.369	4.18332	96	0	0.0791474	1.93162e-05	0	198.6	7.50259	24.7178	0.0189267	0	0	181.641	17.4467	177.058	12.01	122.694	16.5012	90.7204	12.21	12.6328	2.40632	-2.715	0.710709	-4.42718	0.710709	-2.48603
919	357	217.75	-1.80042	96	0	0.053889	1.68088e-05	0	208.652	7.04236	29.3933	0.0432768	0	0	500	0	423.989	91.5887	300	0	300	0	13.6484	2.57438	1.19146	0.692767	-0.49233	0.692767	1.51541
843	501	183.665	5.46776	96	0	0.0777982	1.6588e-05	0	230.03	7.45384	28.0185	0.0190739	0	0	132.203	39.9113	84.0967	31.4708	-38.4217	36.4902	110.387	25.8397	16.5471	2.14416	1.26097	0.510468	-0.760786	0.510468	0.151993
926	105	236.031	-1.90784	96	0	0.0987492	1.91309e-05	0	236.933	7.47362	26.8828	0.143517	0	0	203.673	51.3672	342.103	47.0301	29.2384	49.2492	98.7628	47.0503	12.0564	2.51359	1.26503	0.85977	-0.664117	0.85977	1.75689
593	410	232.663	3.494	96	0	0.0865164	1.6719e-05	0	275.983	7.39247	31.2053	0.0521765	0	0	500	-0	500	-0	300	-0	300	-0	14.5934	1.65572	1.14099	0.56077	-0.410657	0.56077	-0.30372
591	236	228.974	3.05031	96	0	0.0379254	9.92382e-06	0	213.523	4.72987	41.5174	0.050448	0	0	173.116	21.0386	162.065	12.6795	22.6149	18.7363	34.9594	11.8648	28.8377	4.16692	-0.0395675	0.509928	-1.61409	0.509928	0.413243
912	161	204.902	-2.67815	96	0	0.0923669	2.32735e-05	0	207.15	8.75819	21.2932	0.0449717	0	0	419.56	94.9362	418.776	62.8628	-68.4415	92.483	300	0	10.432	2.40549	-1.92816	0.864127	-2.72598	0.864127	0.516183
519	331	184.881	3.14147	64	0	0.0755922	1.80479e-05	0	260.642	7.99605	27.4283	0.0179948	0	0	500	-0	500	-0	300	-0	300	-0	12.4076	1.96176	1.23543	0.585862	-0.578324	0.585862	-1.01705
534	541	216.198	2.66442	6752	0	0.053501	1.14296e-05	0	240.829	5.45975	40.8135	0.0348375	0	0	225.724	15.693	140.965	6.77556	52.4651	14.8887	52.6462	6.75184	23.0458	2.23361	-3.529	0.375873	-4.96778	0.375873	-1.97028
1237	433	153.027	8.69253	96	0	0.098442	2.50143e-05	0	234.173	9.4968	20.3974	0.0300163	0	0	40.6151	41.5717	500	-0	-201.484	23.9009	-22.253	105.615	9.20825	2.18794	-0.245163	0.942437	-1.78955	0.942437	1.57035
914	233	208.215	-2.60848	96	0	0.0751	1.38979e-05	0	316.546	7.71779	36.9719	0.0463262	0	0	123.896	8.10361	123.9	5.00802	27.2802	7.41984	28.0017	4.98225	17.4314	2.68265	-11.3035	0.605671	-13.2619	0.605671	-4.99928
510	508	168.926	2.89231	64	0	0.0772957	1.89751e-05	0	151.895	9.38021	18.7358	0.0516274	0	0	132.005	6.32001	115.1	8.3555	32.6409	6.10571	26.9485	7.83333	10.1315	2.34921	-3.50269	0.903241	-4.69706	0.903241	-3.89493
582	612	212.587	5.27109	96	0	0.0908175	2.19008e-05	0	244.907	10.2577	23.0861	0.0259647	0	0	500	0	274.293	47.5767	300	0	-158.571	50.9124	10.5633	1.9621	-0.695888	0.733258	-3.15357	0.733258	-3.32765
272	559	156.589	0.488229	96	0	0.097755	1.78537e-05	0	220.063	7.66866	25.2533	0.0528833	0	0	500	-0	500	-0	300	-0	300	-0	10.8429	1.59349	2.53202	0.602985	0.250181	0.602985	5.35336
481	159	148.422	1.70067	6752	0	0.098372	1.95586e-05	0	290.008	9.40128	28.8316	0.0254261	0	0	500	-0	106.748	34.3002	300	-0	19.9568	29.4211	12.4389	1.6572	1.19696	0.475629	-0.587568	0.475629	0.954529
272	184	155.898	-0.221528	96	0	0.0953293	1.75564e-05	0	259.97	7.0168	29.4528	0.0656244	0	0	500	-0	116.422	36.0875	300	-0	-35.4939	32.8759	15.3826	2.17086	1.08379	0.541764	-0.664505	0.541764	-0.529468
337	267	192.428	-3.12267	96	0	0.0895129	2.27019e-05	0	287.649	10.2618	25.2568	0.0239614	0	0	500	0	465.042	127.263	300	0	300	0	13.5109	2.32137	0.351279	0.706019	-0.903439	0.706019	0.472929
313	25	232.303	-0.252197	96	0	0.0885448	1.92254e-05	0	250.275	7.89724	25.7367	0.0921686	0	0	500	0	490.415	114.045	300	0	300	0	13.0899	2.24433	2.24313	0.76812	0.142094	0.76812	-0.637839
344	490	241.315	0.138098	96	0	0.0606534	1.57513e-05	0	260.147	6.84466	35.3694	0.212603	0	0	500	-0	224.299	23.704	300	-0	145.894	23.3814	24.591	4.32261	-0.771203	0.657019	-1.90791	0.657019	-1.30348
345	594	243.155	0.37997	96	0	0.0431447	1.01687e-05	0	153.631	4.02047	40.5425	0.133843	0	0	147.327	25.929	286.245	38.7746	-41.8693	22.8354	160.034	39.5323	25.335	3.61384	0.664636	0.549497	-0.960308	0.549497	-0.104234
855	379	207.382	5.52738	96	0	0.0808386	1.75831e-05	0	225.888	7.21686	26.3845	0.0240446	0	0	184.012	21.223	170.11	15.4065	-3.90226	20.1097	-1.93422	15.8493	13.5787	2.4958	-1.83411	0.591807	-3.25776	0.591807	-0.114556
1224	35	175.401	9.61395	96	0	0.0772898	2.78664e-05	0	208.84	11.0286	18.1549	0.0399253	0	0	90.9091	51.4441	422.979	111.529	-33.4333	42.0755	300	-0	9.0956	2.70902	2.32691	1.13817	0.254003	1.13817	5.94598
302	125	211.912	-0.955326	96	0	0.0538504	1.36476e-05	0	260.207	5.87861	38.3965	0.0534429	0	0	228.264	22.3782	168.325	13.1782	65.109	20.9236	54.3416	13.0057	19.6695	3.23079	-1.59587	0.511961	-3.19152	0.511961	0.192074
911	274	202.191	-2.25341	96	0	0.0878845	2.12387e-05	0	241.554	8.55731	25.0296	0.0434499	0	0	500	-0	113.607	36.8844	300	-0	-173.411	32.2493	12.9791	1.94278	0.111031	0.70031	-1.75927	0.70031	-1.1555
1238	202	155.165	7.85942	96	0	0.0450938	1.03464e-05	0	226.312	4.60874	43.7929	0.0247698	0	0	500	-0	418.855	64.7459	300	-0	223.602	70.5871	29.7505	2.75829	2.82575	0.340225	1.13132	0.340225	6.85387
271	477	154.448	0.330301	96	0	0.0959576	1.8686e-05	0	173.453	8.15581	21.577	0.0396105	0	0	101.172	9.60948	113.15	8.74153	11.8058	8.48693	16.5763	8.03463	9.38861	2.34591	-1.66807	0.81302	-4.00053	0.81302	-0.459209
278	74	168.272	0.00304818	96	0	0.039636	1.13997e-05	0	250.73	5.33946	41.9239	0.0446629	0	0	500	-0	153.038	41.8633	164.927	74.742	52.6363	38.6391	40.0346	3.62549	2.13255	0.338811	0.420381	0.338811	1.7856
581	72	167.602	4.83004	96	0	0.0303661	7.04035e-06	0	115.829	5.62421	37.9829	0.0593938	0	0	90.806	0.959222	97.5288	1.94219	3.98455	0.92888	7.72769	1.76518	18.7432	3.40786	-4.635	0.547857	-4.6967	0.547857	-2.57209
1237	386	152.812	8.68582	96	0	0.0974404	2.86408e-05	0	254.944	11.4108	18.6242	0.0342914	0	0	20.142	104.678	1	-0	101.454	31.5653	177.97	20.0853	7.67042	2.1644	1.89277	1.20969	-0.738074	1.20969	0.743208
519	483	185.949	2.80748	96	0	0.0783864	1.50695e-05	0	287.944	7.03139	36.4929	0.0160717	0	0	500	-0	1	-0	300	-0	-51.9606	23.4258	19.1472	1.70138	2.17191	0.334118	0.401852	0.334118	0.5941
267	22	149.161	-0.35802	64	0	0.087761	1.76898e-05	0	240.419	7.35521	27.6331	0.0443074	0	0	500	-0	1	-0	300	-0	-50.7577	23.7804	11.7175	1.90814	1.14805	0.777385	-0.955322	0.777385	-1.40391
540	636	228.446	2.09804	96	0	0.039013	1.04082e-05	0	211.934	4.19791	40.3632	0.0469726	0	0	500	-0	176.587	34.5089	300	-0	-119.045	35.1457	29.5906	3.44094	-0.471198	0.399716	-1.44799	0.399716	0.00167255
1190	116	133.82	4.46781	96	0	0.0724435	1.34308e-05	0	225.845	6.06115	32.8142	0.0537784	0	0	500	-0	247.647	73.5833	300	-0	225.503	72.1183	23.5284	2.71514	1.37115	0.409088	0.214465	0.409088	1.37976
843	481	183.271	5.68968	96	0	0.0829713	1.56575e-05	0	230.097	7.01222	28.297	0.015785	0	0	500	-0	305.641	48.4841	300	-0	247.115	52.1154	17.0527	2.3929	-0.432175	0.496194	-1.58805	0.496194	0.402851
276	440	162.495	0.322309	96	0	0.0389986	1.07851e-05	0	279.101	4.7702	49.0234	0.0414259	0	0	500	-0	243.016	30.6879	216.639	42.1889	122.15	31.9725	42.3998	3.68103	0.415723	0.336016	-1.22399	0.336016	-0.95645
269	460	150.845	0.84048	96	0	0.098249	2.29754e-05	0	237.378	9.14293	21.6547	0.0236921	0	0	117.278	31.9059	131.341	22.9497	-93.2071	28.615	11.0053	21.4345	10.4121	1.91258	-0.921171	0.729614	-1.98045	0.729614	-1.18175
