AVG	ENTROPY	FLAG	MEDIAN	MODE	P16	P2P5	P84	P97P5
0.0476701	-5.02315	0	0.0394638	0.0999999	-0.371379	-0.780555	0.41465	0.748718
-0.75269	-6.05032	0	-0.710096	-0.45	-1.635	-2.5	0.0548914	0.67
-0.49008	-6.01011	0	-0.467045	-0.55	-1.31754	-2.25	0.255102	0.916667
-0.94009	-5.91041	0	-0.925463	-0.8	-1.68831	-2.57	-0.259615	0.397917
-0.48131	-5.96405	0	-0.42234	-0.15	-1.31119	-2.28824	0.272609	0.788236
-0.65908	-5.93634	0	-0.641497	-0.6	-1.43291	-2.36923	0.0591347	0.677084
-0.78471	-5.9228	0	-0.747203	-0.6	-1.55259	-2.48333	-0.105426	0.541667
-1.07054	-5.8031	0	-1.02163	-0.8	-1.79	-2.62	-0.426699	0.0828127
-2.09664	-6.33776	2	-1.97296	-1.4	-3.23962	-4.35359	-1.09015	-0.4677
-0.96739	-5.92681	0	-0.912069	-0.65	-1.74013	-2.70833	-0.287931	0.336842
-1.66727	-6.33266	2	-1.53125	-1.05	-2.85139	-3.85312	-0.678488	-0.0339996
-1.0803	-5.89717	0	-1.05465	-0.95	-1.81029	-2.70385	-0.425248	0.300001
-0.78362	-6.16487	0	-0.79708	-0.75	-1.67436	-2.66154	0.0479731	0.942001
-0.78308	-5.93965	0	-0.739404	-0.45	-1.54754	-2.54615	-0.102381	0.588637
-1.21713	-5.85105	0	-1.15645	-0.9	-1.96458	-2.8525	-0.548016	-0.0124997
-0.49848	-6.12048	0	-0.523577	-0.6	-1.36866	-2.27308	0.326289	1.15938
-0.84195	-5.90062	0	-0.826829	-1	-1.58395	-2.46316	-0.15	0.458621
-0.94976	-5.99208	0	-0.93	-0.65	-1.74762	-2.67778	-0.225258	0.576471
-0.79848	-5.98691	0	-0.723664	-0.35	-1.66463	-2.64667	-0.0294642	0.463158
-0.77571	-5.96152	0	-0.725617	-0.7	-1.58284	-2.51471	-0.0545453	0.529546
-0.52759	-5.96119	0	-0.47582	-0.15	-1.33561	-2.27083	0.214904	0.756818
-0.77511	-5.85225	0	-0.730575	-0.85	-1.51024	-2.39038	-0.11625	0.436
-0.96278	-5.88562	0	-0.913667	-0.75	-1.72	-2.625	-0.280114	0.284783
-0.0511399	-5.00857	0	-0.0699998	-0.0999999	-0.452917	-0.880882	0.312092	0.647059
-0.71579	-5.91471	0	-0.613986	-0.35	-1.50745	-2.58636	-0.0198275	0.46579
-0.83008	-5.93036	0	-0.780822	-0.6	-1.61579	-2.54	-0.118391	0.452084
-0.92827	-5.95429	0	-0.891791	-0.8	-1.70625	-2.67333	-0.21699	0.423077
-0.92917	-5.87176	0	-0.849123	-0.6	-1.68881	-2.7125	-0.240179	0.246154
-1.15569	-5.91221	0	-1.12315	-1.1	-1.93403	-2.80909	-0.472522	0.159524
0.35234	-4.46266	0	0.311605	0.3	0.0644959	-0.171667	0.585088	0.901137
-0.78992	-5.85314	0	-0.740948	-0.6	-1.53462	-2.43125	-0.121545	0.41579
-0.76549	-5.81163	0	-0.722384	-0.8	-1.48506	-2.3381	-0.1252	0.423438
0.0470801	-4.9577	0	0.0304423	0.0500002	-0.351071	-0.776562	0.40733	0.701064
-0.82677	-5.84213	0	-0.784121	-0.55	-1.54653	-2.51818	-0.158716	0.36
-0.63805	-5.91259	0	-0.574418	-0.45	-1.40588	-2.355	0.0529127	0.635417
-1.88068	-6.32678	2	-1.71406	-1	-3.04748	-4.28148	-0.899109	-0.27785
-0.80046	-5.89033	0	-0.749315	-0.55	-1.57292	-2.44211	-0.124748	0.455556
-0.92363	-5.90864	0	-0.886364	-0.75	-1.68264	-2.55588	-0.244555	0.419566
-0.77427	-5.87584	0	-0.717808	-0.3	-1.54583	-2.43958	-0.0892523	0.444643
-1.10175	-5.88332	0	-1.05736	-1.05	-1.86067	-2.75	-0.417822	0.163637
-0.78161	-5.79297	0	-0.716667	-0.6	-1.49545	-2.38529	-0.143056	0.36
-0.91314	-5.8559	0	-0.870915	-0.6	-1.64795	-2.54167	-0.248969	0.314286
-0.70591	-5.93299	0	-0.613603	-0.5	-1.52083	-2.52727	0.00219293	0.55
-0.92825	-5.85099	0	-0.851351	-0.35	-1.67727	-2.72647	-0.252966	0.219118
-0.0131899	-5.73771	0	0.114873	0.3	-0.726852	-1.83158	0.609701	0.996739
-1.11169	-6.31074	1	-1.04862	-0.95	-2.18232	-3.16377	-0.143836	0.591505
-1.19022	-5.88541	0	-1.1136	-0.85	-1.95667	-2.94	-0.4988	-0.0145159
-0.87097	-5.9951	0	-0.816935	-0.4	-1.69701	-2.67778	-0.107216	0.425
-0.73918	-5.8692	0	-0.692592	-0.5	-1.47222	-2.43571	-0.0603446	0.473077
-1.27238	-6.31329	1	-1.20286	-1.05	-2.34324	-3.35715	-0.313213	0.408357
-0.9267	-5.90101	0	-0.871329	-0.65	-1.69	-2.60455	-0.266667	0.364706
-1.10158	-5.84259	0	-1.03503	-0.6	-1.86067	-2.7	-0.445378	0.115
-0.757206	-6.32178	1	-0.539199	-0.15	-1.87947	-3.3578	0.160267	0.825814
-0.89824	-5.89106	0	-0.816312	-0.55	-1.68958	-2.68611	-0.207522	0.3
-0.89323	-5.8608	0	-0.827143	-0.5	-1.65887	-2.57353	-0.222059	0.296
-0.5409	-5.96912	0	-0.47605	-0.0499997	-1.37679	-2.29737	0.204584	0.742857
-1.24888	-5.97191	0	-1.21268	-0.8	-2.05364	-3	-0.517647	0.12
-0.3339	-5.66613	0	-0.25628	0	-0.952985	-2.08889	0.231557	0.690323
-0.35134	-5.89649	0	-0.238346	0	-1.11491	-2.30769	0.334108	0.81
-0.37798	-5.92264	0	-0.239098	0.0500002	-1.21048	-2.28529	0.324194	0.823334
-0.58916	-5.86659	0	-0.5493	-0.45	-1.3375	-2.22727	0.0808593	0.644643
-0.73063	-5.93783	0	-0.710887	-0.75	-1.51875	-2.38437	-0.0209523	0.626316
-0.72505	-5.87722	0	-0.66962	-0.25	-1.48269	-2.425	-0.0399998	0.493056
-2.0512	-6.32123	2	-1.92096	-1.25	-3.22357	-4.27756	-1.05384	-0.43195
-0.887255	-6.32875	1	-0.759991	-0.6	-2.02396	-3.07868	0.0915109	0.735357
-1.55499	-6.32762	2	-1.41989	-0.8	-2.68333	-3.85	-0.560937	0.0525005
-0.83377	-5.97082	0	-0.807025	-0.55	-1.62903	-2.575	-0.106364	0.524138
-0.54986	-5.95855	0	-0.455328	-0.15	-1.3678	-2.40385	0.192975	0.663334
-0.83013	-5.89052	0	-0.779194	-0.65	-1.56866	-2.56154	-0.151852	0.4375
-0.71482	-5.89205	0	-0.629688	-0.2	-1.4806	-2.49667	-0.0523807	0.528261
-0.47164	-5.83406	0	-0.38792	-0.0999999	-1.2	-2.27308	0.19567	0.644445
-0.63467	-5.88969	0	-0.555242	-0.35	-1.415	-2.4	0.0699248	0.551725
-0.74072	-5.85978	0	-0.669758	-0.35	-1.48611	-2.49444	-0.0659089	0.428847
-1.512	-6.28019	1	-1.38477	-0.85	-2.60281	-3.68547	-0.562414	0.00548
-1.19849	-5.90012	0	-1.13778	-1	-1.98507	-2.93056	-0.504444	0.0312503
-0.76489	-5.91017	0	-0.752941	-0.6	-1.50203	-2.40882	-0.0781914	0.607143
-0.68278	-5.80531	0	-0.603548	-0.25	-1.39726	-2.41429	-0.038034	0.451352
-0.86486	-5.86762	0	-0.786296	-0.6	-1.61803	-2.59615	-0.193055	0.300001
-0.68041	-5.85184	0	-0.587407	-0.5	-1.43727	-2.45769	-0.00756304	0.478334
-0.60722	-6.0277	0	-0.575757	-0.3	-1.43041	-2.39286	0.1475	0.809524
-0.59601	-6.00312	0	-0.568571	-0.25	-1.39071	-2.34643	0.135897	0.843334
-0.90557	-5.89937	0	-0.832089	-0.45	-1.67153	-2.64792	-0.222596	0.346429
-0.645	-5.88833	0	-0.627536	-0.45	-1.40402	-2.26389	0.0424243	0.652778
-0.89703	-6.02211	0	-0.853435	-0.65	-1.71579	-2.725	-0.160526	0.5525
-0.68494	-5.91262	0	-0.654808	-0.65	-1.44667	-2.34062	0.0319048	0.598
-0.54402	-5.92398	0	-0.493233	-0.15	-1.33846	-2.3	0.165094	0.7125
-0.86917	-5.93214	0	-0.851667	-0.9	-1.62468	-2.50417	-0.18314	0.531819
