PLATEID	FIBERID	RA	DEC	PRIMTARGET	SECTARGET	Z	Z_ERR	Z_WARNING	V_DISP	V_DISP_ERR	SN_MEDIAN	E_BV_SFD	ZTWEAK	ZTWEAK_ERR
409	41	42.3665	-0.873033	96	0	0.0237361	1.21198e-05	0	132.152	4.82074	42.6683	0.0544699	0	0
420	413	12.7476	15.8899	96	0	0.0782507	1.97181e-05	0	263.128	9.66282	27.6957	0.0689707	0	0
660	539	19.6024	-8.87816	96	0	0.0654873	1.27465e-05	0	293.712	6.29356	40.4034	0.0354664	0	0
665	156	28.5753	-9.71348	96	0	0.0523508	1.3795e-05	0	294.601	6.56773	39.431	0.0237625	0	0
725	123	345.972	-10.6769	96	0	0.0781967	2.29667e-05	0	199.552	8.69212	21.684	0.0382589	0	0
747	534	354.504	15.9004	96	0	0.0681697	1.9209e-05	0	287.735	8.43415	30.0413	0.0588627	0	0
1064	188	51.5257	-0.61575	96	0	0.0374171	1.24132e-05	0	261.24	5.57865	40.0812	0.108485	0	0
739	294	339.39	12.5144	96	0	0.0982972	2.18402e-05	0	273.076	9.61468	24.3316	0.0476244	0	0
989	70	324.805	-0.508541	96	0	0.0637274	1.33125e-05	0	233.684	5.75836	35.487	0.0555638	0	0
646	321	351.194	-8.79943	96	0	0.0968089	1.93393e-05	0	221.492	7.65577	25.6414	0.0458795	0	0
673	43	337.69	-1.15762	96	0	0.0568866	1.7021e-05	0	220.345	7.11274	28.9132	0.0651138	0	0
719	98	334.197	-9.72478	96	0	0.0924643	1.91098e-05	0	243.447	8.06452	25.9277	0.0637614	0	0
645	113	350.735	-10.0456	96	0	0.0839543	1.99565e-05	0	275.81	8.77378	27.8029	0.0277684	0	0
464	484	59.5827	-5.53885	96	0	0.0651752	9.10647e-06	0	219.602	4.04552	52.2117	0.118886	0	0
739	313	339.024	13.0124	96	0	0.0889356	2.06422e-05	0	214.444	8.71162	22.9737	0.0670144	0	0
720	560	336.37	-8.72795	96	0	0.0835725	1.7118e-05	0	218.616	6.96533	28.0561	0.043154	0	0
718	101	332.489	-9.61602	96	0	0.0826763	1.58059e-05	0	258.271	6.5035	33.9204	0.0410845	0	0
428	219	32.2891	12.39	64	0	0.0605163	2.14138e-05	0	171.371	8.51172	21.8764	0.236583	0	0
400	69	24.3036	-0.504315	96	0	0.0561178	1.48093e-05	0	233.091	6.77802	31.8097	0.0314868	0	0
377	295	338.8	-1.14719	96	0	0.0898598	2.56717e-05	0	303.69	10.7307	22.7694	0.0550416	0	0
718	251	331.267	-9.02412	96	0	0.0639352	1.17597e-05	0	254.033	5.09639	44.4185	0.0321809	0	0
731	138	323.471	10.4397	96	0	0.077875	1.86615e-05	0	251.64	8.22228	28.1592	0.0630876	0	0
636	7	314.51	-7.55766	96	0	0.0801805	2.10854e-05	0	201.048	7.79908	25.7463	0.0792373	0	0
