MEDIAN	P16	P84	P2P5	P97P5	MODE	AVG
11.0096	10.9217	11.0945	10.8449	11.1759	11.04	11.0205
11.2522	11.1549	11.3641	11.0777	11.4916	11.25	11.2723
11.1823	11.0839	11.2717	11.0066	11.3818	11.2267	11.1942
11.2733	11.1833	11.3584	11.1128	11.4485	11.32	11.285
11.6995	11.6033	11.7893	11.5327	11.8835	11.7633	11.7099
11.5939	11.5003	11.6738	11.4225	11.7463	11.6467	11.6014
11.1415	11.0504	11.2301	10.9746	11.3201	11.1333	11.1533
11.6429	11.562	11.7205	11.4944	11.8209	11.67	11.6564
11.0899	11.0005	11.178	10.9273	11.2626	11.11	11.1019
11.2623	11.1679	11.3531	11.099	11.4451	11.2967	11.2747
11.2287	11.1353	11.3109	11.0681	11.3869	11.2733	11.2381
11.2467	11.1519	11.3308	11.0869	11.4106	11.2733	11.2568
11.1958	11.1343	11.2695	11.0738	11.3627	11.2033	11.2134
11.5064	11.4048	11.6164	11.3269	11.7541	11.4833	11.5241
11.2792	11.1854	11.3744	11.1132	11.4779	11.2967	11.2935
11.3338	11.2427	11.4204	11.1673	11.5058	11.3433	11.3449
11.8193	11.727	11.9012	11.6549	11.9963	11.8567	11.8305
11.2335	11.1438	11.3267	11.0692	11.4154	11.2267	11.2477
11.4182	11.3242	11.517	11.2536	11.6289	11.4367	11.4334
11.3878	11.2969	11.4751	11.2217	11.5972	11.39	11.4018
11.1357	11.0563	11.2611	10.955	11.3831	11.11	11.1649
11.5388	11.4604	11.6149	11.3957	11.7135	11.5533	11.5522
11.1556	11.0672	11.238	10.9988	11.3264	11.18	11.1672
11.001	10.8999	11.1049	10.8186	11.2013	11.0167	11.0144
11.2291	11.1314	11.3097	11.0513	11.3972	11.2733	11.2361
11.1349	11.0474	11.2127	10.9719	11.2731	11.1333	11.1429
11.2007	11.1038	11.2965	11.018	11.3931	11.2267	11.2129
11.1703	11.0784	11.2531	11.0091	11.3271	11.2033	11.1797
11.3399	11.2524	11.4206	11.1773	11.4883	11.3433	11.3492
11.6385	11.5463	11.7233	11.4701	11.8096	11.67	11.6488
11.3484	11.2547	11.4362	11.1855	11.5198	11.3667	11.3598
10.7432	10.6492	10.8342	10.5804	10.9226	10.7833	10.7554
11.5452	11.4538	11.6341	11.3787	11.7231	11.5533	11.5571
11.3352	11.2544	11.4183	11.1727	11.5324	11.3433	11.3496
11.3145	11.2258	11.4013	11.1509	11.4895	11.2967	11.327
11.3261	11.2362	11.4078	11.1628	11.4789	11.3433	11.3355
11.2274	11.129	11.3101	11.0523	11.3951	11.2733	11.2344
11.5642	11.4803	11.6549	11.3988	11.7724	11.5767	11.5802
11.3432	11.2395	11.4248	11.1696	11.5004	11.3667	11.3486
11.2975	11.2109	11.3863	11.1369	11.4954	11.2733	11.3129
11.0977	11.0015	11.1851	10.9335	11.2776	11.1333	11.1088
11.5531	11.4545	11.6324	11.3756	11.7191	11.6	11.5589
11.647	11.553	11.7227	11.4741	11.7907	11.6933	11.6526
11.147	11.0497	11.2472	10.979	11.3667	11.2033	11.1631
11.3046	11.2144	11.3883	11.1381	11.4696	11.2967	11.3147
11.1962	11.1167	11.2735	11.0477	11.3513	11.2033	11.2082
11.3603	11.27	11.439	11.1931	11.5138	11.4133	11.3683
11.2529	11.1651	11.3347	11.0887	11.4056	11.25	11.2626
11.0984	11.0052	11.1839	10.9358	11.273	11.1333	11.1097
11.2886	11.2007	11.3615	11.1334	11.4302	11.32	11.2961
11.9091	11.8624	12.0303	11.7678	12.1926	11.9033	11.9419
10.8287	10.7391	10.911	10.669	10.9842	10.8533	10.8381
11.2264	11.1381	11.3129	11.0643	11.3989	11.2267	11.2383
11.3715	11.2843	11.447	11.2173	11.5189	11.4133	11.3803
11.1063	11.0122	11.2033	10.9404	11.303	11.11	11.1205
11.6164	11.5243	11.6977	11.4468	11.782	11.67	11.625
11.3825	11.2894	11.4608	11.2178	11.5286	11.4133	11.3897
11.6135	11.5222	11.6996	11.4477	11.776	11.6233	11.6239
11.3546	11.263	11.4455	11.1897	11.532	11.3667	11.367
11.3424	11.2512	11.4384	11.1694	11.5351	11.3433	11.3563
11.0109	10.9166	11.1041	10.8452	11.2084	11.0167	11.0247
11.3933	11.308	11.4678	11.236	11.5446	11.4133	11.4022
11.1256	11.0365	11.2121	10.9657	11.2903	11.1567	11.137
11.5314	11.4434	11.6118	11.3682	11.6768	11.5533	11.5401
10.9921	10.8989	11.0822	10.8309	11.1754	11.0167	11.0041
11.1822	11.0926	11.2651	11.0221	11.338	11.2033	11.192
10.8055	10.7223	10.8956	10.6482	10.9884	10.8067	10.8215
11.2034	11.1134	11.2884	11.0424	11.3638	11.2267	11.2138
11.242	11.1438	11.3585	11.0498	11.5011	11.2033	11.2621
11.5072	11.4121	11.5956	11.3438	11.701	11.53	11.5195
11.1054	11.0116	11.1967	10.9448	11.2935	11.1333	11.1185
11.2634	11.1533	11.3881	11.0756	11.5255	11.2967	11.2816
11.2903	11.1929	11.3809	11.1152	11.4896	11.3433	11.302
11.0484	10.9542	11.1494	10.8783	11.2656	11.04	11.0653
11.4596	11.3694	11.5433	11.2986	11.6163	11.4833	11.4694
11.7273	11.6319	11.8064	11.5558	11.879	11.7867	11.7334
11.2832	11.1814	11.3782	11.1015	11.4796	11.3433	11.2941
11.2153	11.1255	11.3058	11.0536	11.3897	11.2267	11.228
11.2867	11.1918	11.3831	11.1181	11.4879	11.2967	11.3007
11.5464	11.4515	11.6256	11.3724	11.7133	11.5767	11.5549
11.3355	11.2476	11.4188	11.1726	11.4958	11.3433	11.3461
11.2642	11.1731	11.3523	11.1048	11.4508	11.2967	11.2773
11.3349	11.2447	11.4192	11.1708	11.5	11.3433	11.3454
11.2103	11.1205	11.2947	11.0467	11.3707	11.2267	11.2207
11.0257	10.9372	11.1091	10.8631	11.1825	11.04	11.0361
11.1344	11.0454	11.217	10.973	11.2884	11.1567	11.1441
11.0914	10.996	11.1755	10.9268	11.2682	11.11	11.1017
11.3257	11.2359	11.4093	11.1633	11.482	11.3433	11.3358
11.3522	11.2617	11.4418	11.1893	11.538	11.3433	11.3661
11.2308	11.1387	11.3103	11.0621	11.3904	11.2733	11.2394
11.2718	11.1758	11.3653	11.1101	11.4697	11.2967	11.2853
10.9473	10.8544	11.0323	10.7833	11.1212	10.97	10.958
11.2139	11.1215	11.2996	11.0484	11.392	11.25	11.2251
11.3386	11.2498	11.4284	11.1746	11.5163	11.3433	11.3512
11.884	11.7897	12.0035	11.691	12.128	11.88	11.9056
10.8172	10.7198	10.9003	10.6504	10.98	10.8533	10.8259
11.4068	11.3074	11.5008	11.2303	11.5986	11.46	11.4186
11.0548	10.9589	11.1351	10.8897	11.2194	11.0867	11.0634
11.5493	11.4624	11.6327	11.3935	11.7124	11.6	11.561
11.0477	10.9544	11.1315	10.8856	11.2181	11.0633	11.0583
10.9809	10.8879	11.0712	10.8192	11.1595	10.9933	10.9934
11.4266	11.346	11.5059	11.2749	11.6047	11.4833	11.4396
11.241	11.1484	11.3266	11.0816	11.4079	11.25	11.2517
11.2442	11.1515	11.3282	11.0774	11.4099	11.2733	11.2537
11.1946	11.1005	11.2811	11.0348	11.3715	11.2267	11.2061
11.1707	11.0815	11.2618	11.0064	11.3521	11.18	11.1842
11.1656	11.0717	11.2486	11.0037	11.3287	11.2033	11.1752
11.57	11.4817	11.6537	11.4102	11.7371	11.6233	11.5816
11.5585	11.4644	11.6494	11.3909	11.7455	11.5533	11.5712
11.37	11.2756	11.4522	11.2091	11.5297	11.39	11.3793
11.0943	11.0027	11.1813	10.9305	11.2725	11.11	11.1061
11.0571	10.9666	11.142	10.8881	11.2229	11.11	11.0675
11.6676	11.5722	11.751	11.4946	11.8537	11.6933	11.6768
11.4081	11.3044	11.512	11.2257	11.6522	11.39	11.4233
10.9475	10.8519	11.0433	10.7761	11.1699	10.97	10.9629
11.6296	11.5388	11.7035	11.4665	11.7789	11.6467	11.6367
10.6343	10.5324	10.7364	10.446	10.8488	10.62	10.6483
10.8519	10.7614	10.9368	10.6872	11.0226	10.8767	10.8626
11.282	11.1924	11.3667	11.1192	11.4463	11.2967	11.293
11.021	10.9296	11.1147	10.8561	11.2086	11.04	11.0347
