MEDIAN	P16	P84	P2P5	P97P5	MODE	AVG
10.5273	10.4368	10.6102	10.3642	10.6907	10.5733	10.5375
10.2589	10.1703	10.3351	10.0992	10.4088	10.2933	10.2676
10.7202	10.6382	10.8032	10.5677	10.898	10.7367	10.734
10.3725	10.2844	10.4629	10.2112	10.5547	10.3867	10.3864
10.4014	10.3145	10.4909	10.2398	10.5778	10.41	10.4145
10.6302	10.5385	10.7085	10.4608	10.7966	10.6667	10.6395
10.4319	10.3401	10.5185	10.2645	10.6076	10.48	10.4424
10.3105	10.236	10.3881	10.1729	10.4669	10.3167	10.3243
10.4563	10.3766	10.5322	10.3083	10.6042	10.5033	10.4673
10.4007	10.3035	10.4972	10.2222	10.5928	10.41	10.4133
10.3646	10.2824	10.4387	10.2082	10.5242	10.3633	10.375
10.331	10.2395	10.4166	10.1652	10.4983	10.34	10.3416
10.4264	10.3332	10.5184	10.2505	10.6096	10.4567	10.4383
10.2898	10.2004	10.3757	10.1209	10.4562	10.2933	10.3008
10.2721	10.1845	10.3489	10.115	10.4154	10.3167	10.2807
10.5676	10.4787	10.6495	10.4107	10.7313	10.62	10.5787
10.3692	10.2801	10.4543	10.2035	10.5346	10.3633	10.3802
10.2581	10.1657	10.3479	10.0866	10.4333	10.2467	10.2698
10.6017	10.5123	10.6878	10.4361	10.7677	10.5967	10.6126
10.457	10.3785	10.5362	10.312	10.617	10.48	10.4701
10.7154	10.6243	10.7975	10.5499	10.8762	10.76	10.725
10.4185	10.3277	10.4986	10.2519	10.5876	10.4567	10.4286
10.3403	10.244	10.4262	10.1772	10.5133	10.3867	10.3505
10.8214	10.7602	10.8887	10.6946	10.9491	10.83	10.8343
10.5963	10.5008	10.6892	10.428	10.7894	10.5967	10.6084
10.4919	10.4133	10.5696	10.3473	10.6537	10.5033	10.505
10.5701	10.4762	10.6595	10.4105	10.7453	10.5733	10.5822
10.7613	10.6731	10.8399	10.6013	10.9133	10.8067	10.7703
10.7632	10.6747	10.8368	10.6038	10.9101	10.7833	10.7708
10.515	10.4167	10.6092	10.3423	10.7055	10.5267	10.5271
10.5474	10.4596	10.6237	10.3886	10.6921	10.5967	10.5559
10.5269	10.4539	10.6061	10.3899	10.6895	10.55	10.5418
10.5325	10.4508	10.6085	10.3786	10.6833	10.55	10.5426
10.4964	10.4097	10.5857	10.3353	10.6713	10.5033	10.5095
10.4202	10.3217	10.5209	10.2483	10.6416	10.4333	10.4358
10.1211	10.0416	10.1962	9.97174	10.2646	10.1767	10.1312
10.8563	10.7747	10.9362	10.7048	11.0365	10.9	10.8698
10.0551	9.96687	10.1379	9.89296	10.2133	10.0367	10.0654
10.2354	10.1467	10.3181	10.0719	10.3948	10.2233	10.2459
10.6351	10.555	10.7121	10.4831	10.7963	10.6433	10.6469
10.4984	10.4094	10.5876	10.332	10.6715	10.5033	10.5105
10.5371	10.45	10.6124	10.383	10.6809	10.5733	10.5457
10.4524	10.3651	10.5334	10.2894	10.6035	10.4567	10.4622
10.5602	10.4674	10.6482	10.3937	10.7382	10.5733	10.5713
10.477	10.3849	10.5587	10.3072	10.6391	10.5267	10.4857
10.3048	10.2138	10.4015	10.1341	10.4949	10.3167	10.3185
10.3462	10.2574	10.4223	10.1838	10.4886	10.3867	10.354
10.5985	10.5213	10.6844	10.4592	10.7718	10.5967	10.6146
10.4169	10.3287	10.5047	10.2541	10.5874	10.4333	10.4291
10.7312	10.6436	10.8123	10.5726	10.8901	10.7833	10.7417
10.4924	10.4039	10.5778	10.3287	10.6574	10.5033	10.5036
10.485	10.3934	10.5748	10.323	10.6669	10.5033	10.4977
9.85248	9.76041	9.94619	9.68092	10.0318	9.85	9.86524
10.5689	10.4821	10.6503	10.4053	10.722	10.5733	10.5788
10.1224	10.0347	10.2102	9.95813	10.2937	10.13	10.1346
10.6822	10.5962	10.7593	10.519	10.8248	10.7367	10.6908
10.4564	10.364	10.5479	10.2952	10.6418	10.48	10.4692
10.2272	10.1309	10.3134	10.061	10.4029	10.2467	10.2374
10.6193	10.5337	10.7053	10.4599	10.8182	10.62	10.6337
10.3569	10.265	10.4474	10.1851	10.5404	10.34	10.3696
10.639	10.5518	10.7254	10.476	10.8036	10.6433	10.6505
10.7093	10.6205	10.7964	10.5481	10.8749	10.7367	10.7207
10.4382	10.3494	10.5109	10.2773	10.5759	10.48	10.4449
10.4002	10.3107	10.4871	10.2435	10.5763	10.4333	10.4126
10.2536	10.1635	10.3348	10.0882	10.4094	10.3167	10.263
10.5557	10.4634	10.6386	10.387	10.7281	10.5967	10.5662
10.5708	10.4839	10.6573	10.4116	10.7386	10.5733	10.5835
10.5538	10.4642	10.643	10.3939	10.7423	10.5733	10.5673
10.5954	10.502	10.6943	10.4334	10.808	10.5967	10.6116
10.4236	10.3388	10.5059	10.2652	10.5883	10.4567	10.4348
10.3639	10.2739	10.4532	10.2016	10.5407	10.3867	10.3763
10.199	10.1111	10.2865	10.0345	10.3635	10.2	10.211
10.3217	10.2284	10.4093	10.1571	10.5021	10.3633	10.3336
10.5575	10.468	10.6393	10.393	10.7182	10.62	10.5673
10.7708	10.6851	10.861	10.6146	10.9561	10.7833	10.7856
10.3406	10.2518	10.4182	10.1795	10.4911	10.3867	10.3493
10.6488	10.5527	10.7496	10.4835	10.8627	10.6667	10.6646
10.2667	10.1752	10.3523	10.1052	10.4301	10.2933	10.2771
10.3595	10.2647	10.4409	10.1994	10.5241	10.3867	10.3688
10.4878	10.3728	10.6127	10.2863	10.7692	10.5267	10.5064
10.6063	10.5147	10.6973	10.4412	10.7863	10.62	10.6189
10.3123	10.2207	10.3942	10.1484	10.4634	10.34	10.321
